Area,Item,Year,Yield,Pest,Rainfall,Temp
Albania,Soybeans,1999,17143,502.86,1485,16.57
Albania,Wheat,1999,24954,502.86,1485,16.57
Albania,Maize,2000,38811,565.82,1485,16.67
Albania,Potatoes,2000,141228,565.82,1485,16.67
Albania,Soybeans,2000,15000,565.82,1485,16.67
Albania,Wheat,2000,30455,565.82,1485,16.67
Albania,Maize,2001,38135,628.79,1485,16.59
Albania,Potatoes,2001,148818,628.79,1485,16.59
Albania,Soybeans,2001,20000,628.79,1485,16.59
Albania,Wheat,2001,28220,628.79,1485,16.59
Albania,Maize,2002,39460,691.75,1485,16.47
Albania,Potatoes,2002,153868,691.75,1485,16.47
Albania,Soybeans,2002,20000,691.75,1485,16.47
Albania,Wheat,2002,31617,691.75,1485,16.47
Albania,Maize,2004,46197,817.68,1485,16.16
Albania,Potatoes,2004,149346,817.68,1485,16.16
Albania,Soybeans,2004,13333,817.68,1485,16.16
Albania,Wheat,2004,31130,817.68,1485,16.16
Albania,Maize,2005,45442,880.64,1485,15.67
Albania,Potatoes,2005,167061,880.64,1485,15.67
Albania,Soybeans,2005,17500,880.64,1485,15.67
Albania,Wheat,2005,31582,880.64,1485,15.67
Albania,Maize,2006,50111,943.61,1485,15.92
Albania,Potatoes,2006,170745,943.61,1485,15.92
Albania,Soybeans,2006,20000,943.61,1485,15.92
Albania,Wheat,2006,30787,943.61,1485,15.92
Albania,Maize,2007,46732,1006.57,1485,16.67
Albania,Potatoes,2007,188902,1006.57,1485,16.67
Albania,Soybeans,2007,20000,1006.57,1485,16.67
Albania,Wheat,2007,35496,1006.57,1485,16.67
Albania,Maize,2008,50000,1069.54,1485,16.71
Albania,Potatoes,2008,193878,1069.54,1485,16.71
Albania,Soybeans,2008,20000,1069.54,1485,16.71
Albania,Wheat,2008,40168,1069.54,1485,16.71
Albania,Maize,2009,55693,1132.5,1485,16.73
Albania,Potatoes,2009,219780,1132.5,1485,16.73
Albania,Soybeans,2009,16667,1132.5,1485,16.73
Albania,Wheat,2009,40229,1132.5,1485,16.73
Albania,Maize,2010,66790,1311.17,1485,16.52
Albania,Potatoes,2010,231111,1311.17,1485,16.52
Albania,Soybeans,2010,16667,1311.17,1485,16.52
Albania,Wheat,2010,39905,1311.17,1485,16.52
Albania,Maize,2011,59869,1302.63,1485,16.45
Albania,Potatoes,2011,242211,1302.63,1485,16.45
Albania,Soybeans,2011,18519,1302.63,1485,16.45
Albania,Wheat,2011,42301,1302.63,1485,16.45
Albania,Maize,2012,67290,766.25,1485,16.7
Albania,Potatoes,2012,250538,766.25,1485,16.7
Albania,Soybeans,2012,13333,766.25,1485,16.7
Albania,Wheat,2012,41096,766.25,1485,16.7
Albania,Maize,2013,69533,982.32,1485,17.41
Albania,Potatoes,2013,260110,982.32,1485,17.41
Albania,Soybeans,2013,10000,982.32,1485,17.41
Albania,Wheat,2013,41292,982.32,1485,17.41
Algeria,Maize,1990,16500,1828.92,89,17.48
Algeria,Potatoes,1990,78936,1828.92,89,17.48
Algeria,"Rice, paddy",1990,28000,1828.92,89,17.48
Algeria,Sorghum,1990,16571,1828.92,89,17.48
Algeria,Wheat,1990,6315,1828.92,89,17.48
Algeria,Maize,1991,19231,2461.8,89,16.26
Algeria,Potatoes,1991,90747,2461.8,89,16.26
Algeria,"Rice, paddy",1991,26786,2461.8,89,16.26
Algeria,Sorghum,1991,24231,2461.8,89,16.26
Algeria,Wheat,1991,10809,2461.8,89,16.26
Algeria,Maize,1992,22828,1215.47,89,16.27
Algeria,Potatoes,1992,107917,1215.47,89,16.27
Algeria,"Rice, paddy",1992,24733,1215.47,89,16.27
Algeria,Sorghum,1992,40000,1215.47,89,16.27
Algeria,Wheat,1992,9939,1215.47,89,16.27
Algeria,Maize,1993,12500,1021.89,89,17.0
Algeria,Potatoes,1993,111215,1021.89,89,17.0
Algeria,"Rice, paddy",1993,23111,1021.89,89,17.0
Algeria,Sorghum,1993,50000,1021.89,89,17.0
Algeria,Wheat,1993,8097,1021.89,89,17.0
Algeria,Maize,1994,4512,1255.02,89,17.88
Algeria,Potatoes,1994,95078,1255.02,89,17.88
Algeria,"Rice, paddy",1994,21374,1255.02,89,17.88
Algeria,Wheat,1994,7999,1255.02,89,17.88
Algeria,Maize,1995,16115,2697.09,89,17.36
Algeria,Potatoes,1995,136768,2697.09,89,17.36
Algeria,"Rice, paddy",1995,19598,2697.09,89,17.36
Algeria,Sorghum,1995,12667,2697.09,89,17.36
Algeria,Wheat,1995,8924,2697.09,89,17.36
Algeria,Maize,1996,17154,479.77,89,16.76
Algeria,Potatoes,1996,134629,479.77,89,16.76
Algeria,"Rice, paddy",1996,17861,479.77,89,16.76
Algeria,Sorghum,1996,14750,479.77,89,16.76
Algeria,Wheat,1996,13090,479.77,89,16.76
Algeria,Maize,1997,21417,401.22,89,17.84
Algeria,Potatoes,1997,141042,401.22,89,17.84
Algeria,"Rice, paddy",1997,15000,401.22,89,17.84
Algeria,Sorghum,1997,40000,401.22,89,17.84
Algeria,Wheat,1997,8016,401.22,89,17.84
Algeria,Maize,1998,17222,322.84,89,17.14
Algeria,Potatoes,1998,160256,322.84,89,17.14
Algeria,"Rice, paddy",1998,15000,322.84,89,17.14
Algeria,Sorghum,1998,24500,322.84,89,17.14
Algeria,Wheat,1998,8847,322.84,89,17.14
Algeria,Maize,1999,22375,654.45,89,17.97
Algeria,Potatoes,1999,153532,654.45,89,17.97
Algeria,"Rice, paddy",1999,13942,654.45,89,17.97
Algeria,Sorghum,1999,27000,654.45,89,17.97
Algeria,Wheat,1999,10711,654.45,89,17.97
Algeria,Maize,2000,36186,603.67,89,17.9
Algeria,Potatoes,2000,166143,603.67,89,17.9
Algeria,"Rice, paddy",2000,13052,603.67,89,17.9
Algeria,Sorghum,2000,69500,603.67,89,17.9
Algeria,Wheat,2000,9194,603.67,89,17.9
Algeria,Maize,2001,27175,710.11,89,18.13
Algeria,Potatoes,2001,147018,710.11,89,18.13
Algeria,"Rice, paddy",2001,12314,710.11,89,18.13
Algeria,Sorghum,2001,27750,710.11,89,18.13
Algeria,Wheat,2001,11104,710.11,89,18.13
Algeria,Maize,2002,33480,816.55,89,17.85
Algeria,Potatoes,2002,183774,816.55,89,17.85
Algeria,"Rice, paddy",2002,12959,816.55,89,17.85
Algeria,Sorghum,2002,33900,816.55,89,17.85
Algeria,Wheat,2002,10739,816.55,89,17.85
Algeria,Maize,2004,31729,3747.86,89,17.38
Algeria,Potatoes,2004,203585,3747.86,89,17.38
Algeria,"Rice, paddy",2004,12829,3747.86,89,17.38
Algeria,Sorghum,2004,43316,3747.86,89,17.38
Algeria,Wheat,2004,13582,3747.86,89,17.38
Algeria,Maize,2005,33864,3662.87,89,17.19
Algeria,Potatoes,2005,216267,3662.87,89,17.19
Algeria,"Rice, paddy",2005,12998,3662.87,89,17.19
Algeria,Sorghum,2005,33486,3662.87,89,17.19
Algeria,Wheat,2005,15057,3662.87,89,17.19
Algeria,Maize,2006,65668,4110.72,89,18.13
Algeria,Potatoes,2006,220689,4110.72,89,18.13
Algeria,"Rice, paddy",2006,12769,4110.72,89,18.13
Algeria,Sorghum,2006,56728,4110.72,89,18.13
Algeria,Wheat,2006,15068,4110.72,89,18.13
Algeria,Maize,2007,85625,5390.79,89,17.42
Algeria,Potatoes,2007,189927,5390.79,89,17.42
Algeria,"Rice, paddy",2007,13375,5390.79,89,17.42
Algeria,Sorghum,2007,119059,5390.79,89,17.42
Algeria,Wheat,2007,12742,5390.79,89,17.42
Algeria,Maize,2008,44714,11556.12,89,17.55
Algeria,Potatoes,2008,236393,11556.12,89,17.55
Algeria,"Rice, paddy",2008,13952,11556.12,89,17.55
Algeria,Sorghum,2008,61786,11556.12,89,17.55
Algeria,Wheat,2008,11038,11556.12,89,17.55
Algeria,Maize,2009,30914,3867.99,89,17.78
Algeria,Potatoes,2009,250764,3867.99,89,17.78
Algeria,"Rice, paddy",2009,14594,3867.99,89,17.78
Algeria,Sorghum,2009,90465,3867.99,89,17.78
Algeria,Wheat,2009,15975,3867.99,89,17.78
Algeria,Maize,2010,25827,1295.88,89,17.59
Algeria,Potatoes,2010,270526,1295.88,89,17.59
Algeria,"Rice, paddy",2010,15305,1295.88,89,17.59
Algeria,Sorghum,2010,30286,1295.88,89,17.59
Algeria,Wheat,2010,14838,1295.88,89,17.59
Algeria,Maize,2011,23374,13861.76,89,17.79
Algeria,Potatoes,2011,292806,13861.76,89,17.79
Algeria,"Rice, paddy",2011,16081,13861.76,89,17.79
Algeria,Sorghum,2011,100000,13861.76,89,17.79
Algeria,Wheat,2011,17405,13861.76,89,17.79
Algeria,Maize,2012,25583,17379.76,89,17.91
Algeria,Potatoes,2012,304291,17379.76,89,17.91
Algeria,"Rice, paddy",2012,16667,17379.76,89,17.91
Algeria,Sorghum,2012,206000,17379.76,89,17.91
Algeria,Wheat,2012,17639,17379.76,89,17.91
Algeria,Maize,2013,33649,17278.65,89,17.65
Algeria,Potatoes,2013,303218,17278.65,89,17.65
Algeria,"Rice, paddy",2013,17778,17278.65,89,17.65
Algeria,Sorghum,2013,60000,17278.65,89,17.65
Algeria,Wheat,2013,19100,17278.65,89,17.65
Angola,Cassava,1990,41177,64.0,1010,24.12
Angola,Maize,1990,2736,64.0,1010,24.12
Angola,Potatoes,1990,40000,64.0,1010,24.12
Angola,"Rice, paddy",1990,9512,64.0,1010,24.12
Angola,Sweet potatoes,1990,89342,64.0,1010,24.12
Angola,Wheat,1990,7995,64.0,1010,24.12
Angola,Cassava,1991,40295,79.0,1010,24.02
Angola,Maize,1991,4013,79.0,1010,24.02
Angola,Potatoes,1991,40000,79.0,1010,24.02
Angola,"Rice, paddy",1991,10000,79.0,1010,24.02
Angola,Sweet potatoes,1991,83001,79.0,1010,24.02
Angola,Wheat,1991,8000,79.0,1010,24.02
Angola,Cassava,1992,42295,23.0,1010,23.96
Angola,Maize,1992,3778,23.0,1010,23.96
Angola,Potatoes,1992,40000,23.0,1010,23.96
Angola,"Rice, paddy",1992,9106,23.0,1010,23.96
Angola,Sweet potatoes,1992,90000,23.0,1010,23.96
Angola,Wheat,1992,8000,23.0,1010,23.96
Angola,Cassava,1993,42295,169.0,1010,24.15
Angola,Maize,1993,2627,169.0,1010,24.15
Angola,Potatoes,1993,70000,169.0,1010,24.15
Angola,"Rice, paddy",1993,8000,169.0,1010,24.15
Angola,Sweet potatoes,1993,88095,169.0,1010,24.15
Angola,Wheat,1993,8876,169.0,1010,24.15
Angola,Cassava,1994,58596,25.5,1010,24.04
Angola,Maize,1994,2463,25.5,1010,24.04
Angola,Potatoes,1994,90000,25.5,1010,24.04
Angola,"Rice, paddy",1994,8750,25.5,1010,24.04
Angola,Sweet potatoes,1994,83192,25.5,1010,24.04
Angola,Wheat,1994,10000,25.5,1010,24.04
Angola,Cassava,1995,51000,336.0,1010,24.56
Angola,Maize,1995,3517,336.0,1010,24.56
Angola,Potatoes,1995,76738,336.0,1010,24.56
Angola,"Rice, paddy",1995,14615,336.0,1010,24.56
Angola,Sweet potatoes,1995,81138,336.0,1010,24.56
Angola,Wheat,1995,11855,336.0,1010,24.56
Angola,Cassava,1996,48077,40.0,1010,24.11
Angola,Maize,1996,6993,40.0,1010,24.11
Angola,Potatoes,1996,70000,40.0,1010,24.11
Angola,"Rice, paddy",1996,17500,40.0,1010,24.11
Angola,Sweet potatoes,1996,85455,40.0,1010,24.11
Angola,Wheat,1996,13738,40.0,1010,24.11
Angola,Cassava,1997,44205,40.0,1010,24.06
Angola,Maize,1997,5959,40.0,1010,24.06
Angola,Potatoes,1997,68571,40.0,1010,24.06
Angola,"Rice, paddy",1997,20000,40.0,1010,24.06
Angola,Sweet potatoes,1997,78098,40.0,1010,24.06
Angola,Wheat,1997,15509,40.0,1010,24.06
Angola,Cassava,1998,55728,40.0,1010,24.96
Angola,Maize,1998,7396,40.0,1010,24.96
Angola,Potatoes,1998,62724,40.0,1010,24.96
Angola,"Rice, paddy",1998,20000,40.0,1010,24.96
Angola,Sweet potatoes,1998,76256,40.0,1010,24.96
Angola,Wheat,1998,17143,40.0,1010,24.96
Angola,Cassava,1999,59821,40.0,1010,24.37
Angola,Maize,1999,6361,40.0,1010,24.37
Angola,Potatoes,1999,54597,40.0,1010,24.37
Angola,"Rice, paddy",1999,14235,40.0,1010,24.37
Angola,Sweet potatoes,1999,82865,40.0,1010,24.37
Angola,Wheat,1999,17391,40.0,1010,24.37
Angola,Cassava,2000,82992,40.0,1010,24.41
Angola,Maize,2000,5745,40.0,1010,24.41
Angola,Potatoes,2000,29885,40.0,1010,24.41
Angola,"Rice, paddy",2000,13454,40.0,1010,24.41
Angola,Sorghum,2000,3333,40.0,1010,24.41
Angola,Soybeans,2000,2333,40.0,1010,24.41
Angola,Sweet potatoes,2000,34938,40.0,1010,24.41
Angola,Wheat,2000,17023,40.0,1010,24.41
Angola,Cassava,2001,94072,40.0,1010,24.43
Angola,Maize,2001,5754,40.0,1010,24.43
Angola,Potatoes,2001,42552,40.0,1010,24.43
Angola,"Rice, paddy",2001,13701,40.0,1010,24.43
Angola,Sorghum,2001,3571,40.0,1010,24.43
Angola,Soybeans,2001,2500,40.0,1010,24.43
Angola,Sweet potatoes,2001,44458,40.0,1010,24.43
Angola,Wheat,2001,16667,40.0,1010,24.43
Angola,Cassava,2002,110071,40.0,1010,24.79
Angola,Maize,2002,6706,40.0,1010,24.79
Angola,Potatoes,2002,42754,40.0,1010,24.79
Angola,"Rice, paddy",2002,13198,40.0,1010,24.79
Angola,Sorghum,2002,3400,40.0,1010,24.79
Angola,Soybeans,2002,2857,40.0,1010,24.79
Angola,Sweet potatoes,2002,42190,40.0,1010,24.79
Angola,Wheat,2002,15455,40.0,1010,24.79
Angola,Cassava,2004,125605,40.0,1010,24.22
Angola,Maize,2004,5404,40.0,1010,24.22
Angola,Potatoes,2004,20150,40.0,1010,24.22
Angola,"Rice, paddy",2004,11584,40.0,1010,24.22
Angola,Sorghum,2004,3333,40.0,1010,24.22
Angola,Soybeans,2004,3600,40.0,1010,24.22
Angola,Sweet potatoes,2004,45360,40.0,1010,24.22
Angola,Wheat,2004,12442,40.0,1010,24.22
Angola,Cassava,2005,117628,40.0,1010,24.41
Angola,Maize,2005,6736,40.0,1010,24.41
Angola,Potatoes,2005,23646,40.0,1010,24.41
Angola,"Rice, paddy",2005,6977,40.0,1010,24.41
Angola,Sorghum,2005,3333,40.0,1010,24.41
Angola,Soybeans,2005,3793,40.0,1010,24.41
Angola,Sweet potatoes,2005,46159,40.0,1010,24.41
Angola,Wheat,2005,10946,40.0,1010,24.41
Angola,Cassava,2006,117201,40.0,1010,24.14
Angola,Maize,2006,4687,40.0,1010,24.14
Angola,Potatoes,2006,52148,40.0,1010,24.14
Angola,"Rice, paddy",2006,4947,40.0,1010,24.14
Angola,Sorghum,2006,4091,40.0,1010,24.14
Angola,Soybeans,2006,4286,40.0,1010,24.14
Angola,Sweet potatoes,2006,44240,40.0,1010,24.14
Angola,Wheat,2006,10000,40.0,1010,24.14
Angola,Cassava,2007,115387,40.0,1010,24.24
Angola,Maize,2007,5091,40.0,1010,24.24
Angola,Potatoes,2007,62138,40.0,1010,24.24
Angola,"Rice, paddy",2007,5143,40.0,1010,24.24
Angola,Sorghum,2007,4031,40.0,1010,24.24
Angola,Soybeans,2007,6883,40.0,1010,24.24
Angola,Sweet potatoes,2007,58855,40.0,1010,24.24
Angola,Wheat,2007,10000,40.0,1010,24.24
Angola,Cassava,2008,148084,40.0,1010,24.27
Angola,Maize,2008,7946,40.0,1010,24.27
Angola,Potatoes,2008,85085,40.0,1010,24.27
Angola,"Rice, paddy",2008,5084,40.0,1010,24.27
Angola,Sorghum,2008,929,40.0,1010,24.27
Angola,Soybeans,2008,8575,40.0,1010,24.27
Angola,Sweet potatoes,2008,65437,40.0,1010,24.27
Angola,Wheat,2008,10000,40.0,1010,24.27
Angola,Cassava,2009,151759,40.0,1010,24.33
Angola,Maize,2009,6614,40.0,1010,24.33
Angola,Potatoes,2009,86509,40.0,1010,24.33
Angola,"Rice, paddy",2009,6028,40.0,1010,24.33
Angola,Sorghum,2009,2480,40.0,1010,24.33
Angola,Soybeans,2009,4449,40.0,1010,24.33
Angola,Sweet potatoes,2009,66475,40.0,1010,24.33
Angola,Wheat,2009,10000,40.0,1010,24.33
Angola,Cassava,2010,155782,40.0,1010,24.44
Angola,Maize,2010,7200,40.0,1010,24.44
Angola,Potatoes,2010,87425,40.0,1010,24.44
Angola,"Rice, paddy",2010,7403,40.0,1010,24.44
Angola,Sorghum,2010,2814,40.0,1010,24.44
Angola,Soybeans,2010,4446,40.0,1010,24.44
Angola,Sweet potatoes,2010,63001,40.0,1010,24.44
Angola,Wheat,2010,10526,40.0,1010,24.44
Angola,Cassava,2011,133649,40.0,1010,24.15
Angola,Maize,2011,7376,40.0,1010,24.15
Angola,Potatoes,2011,81366,40.0,1010,24.15
Angola,"Rice, paddy",2011,8914,40.0,1010,24.15
Angola,Sorghum,2011,3320,40.0,1010,24.15
Angola,Soybeans,2011,5294,40.0,1010,24.15
Angola,Sweet potatoes,2011,65512,40.0,1010,24.15
Angola,Wheat,2011,10959,40.0,1010,24.15
Angola,Cassava,2012,100073,40.0,1010,24.24
Angola,Maize,2012,7770,40.0,1010,24.24
Angola,Potatoes,2012,69381,40.0,1010,24.24
Angola,"Rice, paddy",2012,7703,40.0,1010,24.24
Angola,Sorghum,2012,998,40.0,1010,24.24
Angola,Soybeans,2012,1641,40.0,1010,24.24
Angola,Sweet potatoes,2012,52954,40.0,1010,24.24
Angola,Wheat,2012,11258,40.0,1010,24.24
Angola,Cassava,2013,140517,40.0,1010,24.55
Angola,Maize,2013,9467,40.0,1010,24.55
Angola,Potatoes,2013,63303,40.0,1010,24.55
Angola,"Rice, paddy",2013,12744,40.0,1010,24.55
Angola,Sorghum,2013,2415,40.0,1010,24.55
Angola,Soybeans,2013,4405,40.0,1010,24.55
Angola,Sweet potatoes,2013,73409,40.0,1010,24.55
Angola,Wheat,2013,9022,40.0,1010,24.55
Argentina,Cassava,1990,100000,26156.0,591,17.46
Argentina,Cassava,1990,100000,26156.0,591,17.67
Argentina,Maize,1990,34608,26156.0,591,17.46
Argentina,Maize,1990,34608,26156.0,591,17.67
Argentina,Potatoes,1990,202747,26156.0,591,17.46
Argentina,Potatoes,1990,202747,26156.0,591,17.67
Argentina,"Rice, paddy",1990,36709,26156.0,591,17.46
Argentina,"Rice, paddy",1990,36709,26156.0,591,17.67
Argentina,Sorghum,1990,28116,26156.0,591,17.46
Argentina,Sorghum,1990,28116,26156.0,591,17.67
Argentina,Soybeans,1990,21566,26156.0,591,17.46
Argentina,Soybeans,1990,21566,26156.0,591,17.67
Argentina,Sweet potatoes,1990,131864,26156.0,591,17.46
Argentina,Sweet potatoes,1990,131864,26156.0,591,17.67
Argentina,Wheat,1990,18947,26156.0,591,17.46
Argentina,Wheat,1990,18947,26156.0,591,17.67
Argentina,Cassava,1991,100000,26156.0,591,17.64
Argentina,Cassava,1991,100000,26156.0,591,17.86
Argentina,Maize,1991,40444,26156.0,591,17.64
Argentina,Maize,1991,40444,26156.0,591,17.86
Argentina,Potatoes,1991,205692,26156.0,591,17.64
Argentina,Potatoes,1991,205692,26156.0,591,17.86
Argentina,"Rice, paddy",1991,40294,26156.0,591,17.64
Argentina,"Rice, paddy",1991,40294,26156.0,591,17.86
Argentina,Sorghum,1991,33320,26156.0,591,17.64
Argentina,Sorghum,1991,33320,26156.0,591,17.86
Argentina,Soybeans,1991,22750,26156.0,591,17.64
Argentina,Soybeans,1991,22750,26156.0,591,17.86
Argentina,Sweet potatoes,1991,131364,26156.0,591,17.64
Argentina,Sweet potatoes,1991,131364,26156.0,591,17.86
Argentina,Wheat,1991,18972,26156.0,591,17.64
Argentina,Wheat,1991,18972,26156.0,591,17.86
Argentina,Cassava,1992,100000,26156.0,591,17.09
Argentina,Cassava,1992,100000,26156.0,591,17.51
Argentina,Maize,1992,45237,26156.0,591,17.09
Argentina,Maize,1992,45237,26156.0,591,17.51
Argentina,Potatoes,1992,199039,26156.0,591,17.09
Argentina,Potatoes,1992,199039,26156.0,591,17.51
Argentina,"Rice, paddy",1992,52075,26156.0,591,17.09
Argentina,"Rice, paddy",1992,52075,26156.0,591,17.51
Argentina,Sorghum,1992,36217,26156.0,591,17.09
Argentina,Sorghum,1992,36217,26156.0,591,17.51
Argentina,Soybeans,1992,22915,26156.0,591,17.09
Argentina,Soybeans,1992,22915,26156.0,591,17.51
Argentina,Sweet potatoes,1992,127273,26156.0,591,17.09
Argentina,Sweet potatoes,1992,127273,26156.0,591,17.51
Argentina,Wheat,1992,21809,26156.0,591,17.09
Argentina,Wheat,1992,21809,26156.0,591,17.51
Argentina,Cassava,1993,100000,26156.0,591,17.32
Argentina,Cassava,1993,100000,26156.0,591,17.53
Argentina,Maize,1993,43552,26156.0,591,17.32
Argentina,Maize,1993,43552,26156.0,591,17.53
Argentina,Potatoes,1993,210314,26156.0,591,17.32
Argentina,Potatoes,1993,210314,26156.0,591,17.53
Argentina,"Rice, paddy",1993,43559,26156.0,591,17.32
Argentina,"Rice, paddy",1993,43559,26156.0,591,17.53
Argentina,Sorghum,1993,39529,26156.0,591,17.32
Argentina,Sorghum,1993,39529,26156.0,591,17.53
Argentina,Soybeans,1993,21589,26156.0,591,17.32
Argentina,Soybeans,1993,21589,26156.0,591,17.53
Argentina,Sweet potatoes,1993,122955,26156.0,591,17.32
Argentina,Sweet potatoes,1993,122955,26156.0,591,17.53
Argentina,Wheat,1993,23272,26156.0,591,17.32
Argentina,Wheat,1993,23272,26156.0,591,17.53
Argentina,Cassava,1994,100000,30195.0,591,18.17
Argentina,Cassava,1994,100000,30195.0,591,18.31
Argentina,Maize,1994,42371,30195.0,591,18.17
Argentina,Maize,1994,42371,30195.0,591,18.31
Argentina,Potatoes,1994,230166,30195.0,591,18.17
Argentina,Potatoes,1994,230166,30195.0,591,18.31
Argentina,"Rice, paddy",1994,42989,30195.0,591,18.17
Argentina,"Rice, paddy",1994,42989,30195.0,591,18.31
Argentina,Sorghum,1994,35065,30195.0,591,18.17
Argentina,Sorghum,1994,35065,30195.0,591,18.31
Argentina,Soybeans,1994,20386,30195.0,591,18.17
Argentina,Soybeans,1994,20386,30195.0,591,18.31
Argentina,Sweet potatoes,1994,176667,30195.0,591,18.17
Argentina,Sweet potatoes,1994,176667,30195.0,591,18.31
Argentina,Wheat,1994,20237,30195.0,591,18.17
Argentina,Wheat,1994,20237,30195.0,591,18.31
Argentina,Cassava,1995,100000,37842.0,591,17.74
Argentina,Cassava,1995,100000,37842.0,591,17.62
Argentina,Maize,1995,45223,37842.0,591,17.74
Argentina,Maize,1995,45223,37842.0,591,17.62
Argentina,Potatoes,1995,274272,37842.0,591,17.74
Argentina,Potatoes,1995,274272,37842.0,591,17.62
Argentina,"Rice, paddy",1995,50306,37842.0,591,17.74
Argentina,"Rice, paddy",1995,50306,37842.0,591,17.62
Argentina,Sorghum,1995,34588,37842.0,591,17.74
Argentina,Sorghum,1995,34588,37842.0,591,17.62
Argentina,Soybeans,1995,20446,37842.0,591,17.74
Argentina,Soybeans,1995,20446,37842.0,591,17.62
Argentina,Sweet potatoes,1995,168000,37842.0,591,17.74
Argentina,Sweet potatoes,1995,168000,37842.0,591,17.62
Argentina,Wheat,1995,21675,37842.0,591,17.74
Argentina,Wheat,1995,21675,37842.0,591,17.62
Argentina,Cassava,1996,100000,54595.0,591,17.64
Argentina,Cassava,1996,100000,54595.0,591,17.97
Argentina,Maize,1996,40397,54595.0,591,17.64
Argentina,Maize,1996,40397,54595.0,591,17.97
Argentina,Potatoes,1996,228877,54595.0,591,17.64
Argentina,Potatoes,1996,228877,54595.0,591,17.97
Argentina,"Rice, paddy",1996,51031,54595.0,591,17.64
Argentina,"Rice, paddy",1996,51031,54595.0,591,17.97
Argentina,Sorghum,1996,38763,54595.0,591,17.64
Argentina,Sorghum,1996,38763,54595.0,591,17.97
Argentina,Soybeans,1996,21051,54595.0,591,17.64
Argentina,Soybeans,1996,21051,54595.0,591,17.97
Argentina,Sweet potatoes,1996,170000,54595.0,591,17.64
Argentina,Sweet potatoes,1996,170000,54595.0,591,17.97
Argentina,Wheat,1996,19344,54595.0,591,17.64
Argentina,Wheat,1996,19344,54595.0,591,17.97
Argentina,Cassava,1997,100000,77691.0,591,18.29
Argentina,Cassava,1997,100000,77691.0,591,18.54
Argentina,Maize,1997,45557,77691.0,591,18.29
Argentina,Maize,1997,45557,77691.0,591,18.54
Argentina,Potatoes,1997,268502,77691.0,591,18.29
Argentina,Potatoes,1997,268502,77691.0,591,18.54
Argentina,"Rice, paddy",1997,53703,77691.0,591,18.29
Argentina,"Rice, paddy",1997,53703,77691.0,591,18.54
Argentina,Sorghum,1997,36845,77691.0,591,18.29
Argentina,Sorghum,1997,36845,77691.0,591,18.54
Argentina,Soybeans,1997,17212,77691.0,591,18.29
Argentina,Soybeans,1997,17212,77691.0,591,18.54
Argentina,Sweet potatoes,1997,145662,77691.0,591,18.29
Argentina,Sweet potatoes,1997,145662,77691.0,591,18.54
Argentina,Wheat,1997,22426,77691.0,591,18.29
Argentina,Wheat,1997,22426,77691.0,591,18.54
Argentina,Cassava,1998,100000,62397.0,591,17.23
Argentina,Cassava,1998,100000,62397.0,591,17.52
